# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-03-10
#
# GRDC-No.:              6935500
# River:                 RHINE RIVER
# Station:               DIEPOLDSAU, RIETBRUECKE
# Country:               CH
# Latitude (DD):       47.3831
# Longitude (DD):      9.6409
# Catchment area (km²):      6119.0
# Altitude (m ASL):        456.273
# Next downstream station:      6935055
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1919-01 - 2016-12
# No. of years:          98
# Last update:           2018-08-20
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 35795
# DATA
YYYY-MM-DD;hh:mm; Value
1919-11-14;--:--;     89.600
1919-11-15;--:--;     89.600
1919-11-16;--:--;     96.000
1919-11-17;--:--;     86.400
1919-11-18;--:--;     83.400
1919-11-19;--:--;     89.600
1919-11-20;--:--;     96.000
1919-11-21;--:--;    105.000
1919-11-22;--:--;     96.000
1919-11-23;--:--;    102.000
1919-11-24;--:--;    114.000
1919-11-25;--:--;    104.000
1919-11-26;--:--;    116.000
1919-11-27;--:--;    112.000
1919-11-28;--:--;    109.000
1919-11-29;--:--;     99.200
1919-11-30;--:--;     96.000
1919-12-01;--:--;     92.800
1919-12-02;--:--;     92.800
1919-12-03;--:--;     91.200
1919-12-04;--:--;     91.200
1919-12-05;--:--;     92.800
1919-12-06;--:--;     94.400
1919-12-07;--:--;    114.000
1919-12-08;--:--;    102.000
1919-12-09;--:--;     99.200
1919-12-10;--:--;     96.000
1919-12-11;--:--;     89.600
1919-12-12;--:--;     91.200
1919-12-13;--:--;     86.400
1919-12-14;--:--;     80.400
1919-12-15;--:--;     78.900
1919-12-16;--:--;     75.900
1919-12-17;--:--;     75.900
1919-12-18;--:--;     73.000
1919-12-19;--:--;     74.500
1919-12-20;--:--;     78.900
1919-12-21;--:--;     77.400
1919-12-22;--:--;     80.400
1919-12-23;--:--;     83.400
1919-12-24;--:--;    203.000
1919-12-25;--:--;    184.000
1919-12-26;--:--;    136.000
1919-12-27;--:--;    116.000
1919-12-28;--:--;    116.000
1919-12-29;--:--;    225.000
1919-12-30;--:--;    207.000
1919-12-31;--:--;    178.000
1920-01-01;--:--;    138.000
1920-01-02;--:--;    131.000
1920-01-03;--:--;    122.000
1920-01-04;--:--;    116.000
1920-01-05;--:--;    104.000
1920-01-06;--:--;     99.200
1920-01-07;--:--;     97.600
1920-01-08;--:--;     96.000
1920-01-09;--:--;     97.600
1920-01-10;--:--;     96.000
1920-01-11;--:--;     99.200
1920-01-12;--:--;    251.000
1920-01-13;--:--;    376.000
1920-01-14;--:--;    281.000
1920-01-15;--:--;    229.000
1920-01-16;--:--;    182.000
1920-01-17;--:--;    166.000
1920-01-18;--:--;    151.000
1920-01-19;--:--;    141.000
1920-01-20;--:--;    141.000
1920-01-21;--:--;    136.000
1920-01-22;--:--;    133.000
1920-01-23;--:--;    131.000
1920-01-24;--:--;    126.000
1920-01-25;--:--;    124.000
1920-01-26;--:--;    121.000
1920-01-27;--:--;    122.000
1920-01-28;--:--;    121.000
1920-01-29;--:--;    116.000
1920-01-30;--:--;    114.000
1920-01-31;--:--;    114.000
1920-02-01;--:--;    141.000
1920-02-02;--:--;    129.000
1920-02-03;--:--;    119.000
1920-02-04;--:--;    114.000
1920-02-05;--:--;    116.000
1920-02-06;--:--;    116.000
1920-02-07;--:--;    112.000
1920-02-08;--:--;    111.000
1920-02-09;--:--;    109.000
1920-02-10;--:--;    107.000
1920-02-11;--:--;    107.000
1920-02-12;--:--;    109.000
1920-02-13;--:--;    105.000
1920-02-14;--:--;    102.000
1920-02-15;--:--;    104.000
1920-02-16;--:--;    102.000
1920-02-17;--:--;    104.000
1920-02-18;--:--;    102.000
1920-02-19;--:--;    102.000
1920-02-20;--:--;    102.000
1920-02-21;--:--;     99.200
1920-02-22;--:--;     99.200
1920-02-23;--:--;    101.000
1920-02-24;--:--;     99.200
1920-02-25;--:--;     99.200
1920-02-26;--:--;    102.000
1920-02-27;--:--;    104.000
1920-02-28;--:--;    109.000
1920-02-29;--:--;    105.000
1920-03-01;--:--;    109.000
1920-03-02;--:--;    127.000
1920-03-03;--:--;    153.000
1920-03-04;--:--;    172.000
1920-03-05;--:--;    188.000
1920-03-06;--:--;    201.000
1920-03-07;--:--;    209.000
1920-03-08;--:--;    246.000
1920-03-09;--:--;    201.000
1920-03-10;--:--;    170.000
1920-03-11;--:--;    154.000
1920-03-12;--:--;    141.000
1920-03-13;--:--;    133.000
1920-03-14;--:--;    133.000
1920-03-15;--:--;    133.000
1920-03-16;--:--;    131.000
1920-03-17;--:--;    126.000
1920-03-18;--:--;    124.000
1920-03-19;--:--;    131.000
1920-03-20;--:--;    134.000
1920-03-21;--:--;    139.000
1920-03-22;--:--;    149.000
1920-03-23;--:--;    158.000
1920-03-24;--:--;    164.000
1920-03-25;--:--;    162.000
1920-03-26;--:--;    156.000
1920-03-27;--:--;    162.000
1920-03-28;--:--;    170.000
1920-03-29;--:--;    192.000
1920-03-30;--:--;    213.000
1920-03-31;--:--;    229.000
1920-04-01;--:--;    218.000
1920-04-02;--:--;    186.000
1920-04-03;--:--;    170.000
1920-04-04;--:--;    166.000
1920-04-05;--:--;    156.000
1920-04-06;--:--;    149.000
1920-04-07;--:--;    143.000
1920-04-08;--:--;    141.000
1920-04-09;--:--;    139.000
1920-04-10;--:--;    147.000
1920-04-11;--:--;    178.000
1920-04-12;--:--;    260.000
1920-04-13;--:--;    244.000
1920-04-14;--:--;    225.000
1920-04-15;--:--;    205.000
1920-04-16;--:--;    216.000
1920-04-17;--:--;    253.000
1920-04-18;--:--;    330.000
1920-04-19;--:--;    456.000
1920-04-20;--:--;    393.000
1920-04-21;--:--;    374.000
1920-04-22;--:--;    316.000
1920-04-23;--:--;    278.000
1920-04-24;--:--;    246.000
